list-none-none,1,10,1,30,244581,8152
list-none-none,1,100,1,300,276891,922
list-none-none,1,1000,1,3000,2502796,834
list-none-none,1,10000,1,30000,218513479,7283
list-none-none,1,20000,1,60000,873004313,14550
list-none-none,2,1,1,6,250308,41718
list-none-none,2,10,1,60,257327,4288
list-none-none,2,1000,1,6000,4283380,713
list-none-none,4,1,1,12,315076,26256
list-none-none,4,10,1,120,311477,2595
list-none-none,4,100,1,1200,746048,621
list-none-none,8,1,1,24,1183462,49310
list-none-none,8,10,1,240,1161479,4839
list-none-none,8,100,1,2400,503937,209
list-none-none,8,1000,1,24000,10831846,451
list-none-none,12,1,1,36,1328648,36906
list-none-none,12,10,1,360,1249261,3470
list-none-none,12,1000,1,36000,14493543,402
list-i-none,2,1,1,6,276568,46094
list-i-none,2,2,1,12,270043,22503
list-i-none,2,4,1,24,272042,11335
list-i-none,2,8,1,48,229604,4783
list-i-none,2,16,1,96,256183,2668
list-i-none,4,1,1,12,297731,24810
list-i-none,4,2,1,24,344966,14373
list-i-none,4,4,1,48,290197,6045
list-i-none,4,8,1,96,334026,3479
list-i-none,8,1,1,24,440174,18340
list-i-none,8,2,1,48,453866,9455
list-i-none,8,4,1,96,454013,4729
list-i-none,8,8,1,192,844194,4396
list-i-none,8,16,1,384,435709,1134
list-i-none,12,1,1,36,897550,24931
list-i-none,12,2,1,72,1309485,18187
list-i-none,12,4,1,144,560188,3890
list-i-none,12,16,1,576,1233352,2141
list-d-none,2,1,1,6,273784,45630
list-d-none,2,2,1,12,237329,19777
list-d-none,2,4,1,24,245325,10221
list-d-none,2,8,1,48,237223,4942
list-d-none,2,32,1,192,247485,1288
list-d-none,4,1,1,12,325752,27146
list-d-none,4,2,1,24,337470,14061
list-d-none,4,4,1,48,342077,7126
list-d-none,4,8,1,96,310675,3236
list-d-none,4,16,1,192,290282,1511
list-d-none,8,1,1,24,796521,33188
list-d-none,8,2,1,48,1162001,24208
list-d-none,8,4,1,96,885535,9224
list-d-none,8,8,1,192,1904976,9921
list-d-none,12,1,1,36,1236937,34359
list-d-none,12,2,1,72,1251960,17388
list-d-none,12,4,1,144,1644492,11420
list-d-none,12,8,1,288,892349,3098
list-il-none,2,1,1,6,232658,38776
list-il-none,2,2,1,12,252834,21069
list-il-none,2,4,1,24,261987,10916
list-il-none,2,8,1,48,257341,5361
list-il-none,2,32,1,192,294480,1533
list-il-none,4,1,1,12,329955,27496
list-il-none,4,2,1,24,278573,11607
list-il-none,4,4,1,48,297066,6188
list-il-none,4,8,1,96,289820,3018
list-il-none,4,16,1,192,281563,1466
list-il-none,8,1,1,24,458748,19114
list-il-none,8,2,1,48,453431,9446
list-il-none,8,4,1,96,420570,4380
list-il-none,12,1,1,36,890036,24723
list-il-none,12,2,1,72,1239333,17212
list-il-none,12,4,1,144,1242259,8626
list-il-none,12,8,1,288,546046,1895
list-il-none,12,16,1,576,564060,979
list-dl-none,2,1,1,6,216065,36010
list-dl-none,2,2,1,12,250388,20865
list-dl-none,2,4,1,24,228485,9520
list-dl-none,2,8,1,48,238060,4959
list-dl-none,2,16,1,96,316788,3299
list-dl-none,2,32,1,192,269826,1405
list-dl-none,4,1,1,12,321837,26819
list-dl-none,4,2,1,24,292262,12177
list-dl-none,4,4,1,48,295438,6154
list-dl-none,4,8,1,96,309453,3223
list-dl-none,4,16,1,192,276560,1440
list-dl-none,8,1,1,24,441155,18381
list-dl-none,8,2,1,48,434267,9047
list-dl-none,8,4,1,96,433045,4510
list-dl-none,8,8,1,192,423506,2205
list-dl-none,12,1,1,36,1225431,34039
list-dl-none,12,2,1,72,1220104,16945
list-dl-none,12,4,1,144,1234734,8574
list-dl-none,12,8,1,288,544515,1890
list-il-m,12,32,1,1152,847708,735
list-i-s,12,32,1,1152,510931,443
list-il-s,12,32,1,1152,540278,468
list-none-none,1,1000,1,3000,2464458,821
list-none-m,1,1000,1,3000,2490094,830
list-none-m,2,1000,1,6000,4306789,717
list-none-s,1,1000,1,3000,2510709,836
list-none-s,2,1000,1,6000,4181122,696
